iter	Passed	Remaining
1123	28135	2753
1124	28162	2728
1125	28189	2703
1126	28216	2678
1127	28243	2654
1128	28268	2629
1129	28293	2604
1130	28320	2579
1131	28343	2553
1132	28369	2528
1133	28391	2503
1134	28415	2478
1135	28439	2453
1136	28467	2428
1137	28490	2403
1138	28512	2378
1139	28538	2353
1140	28565	2328
1141	28587	2303
1142	28616	2278
1143	28640	2253
1144	28662	2227
1145	28690	2203
1146	28718	2178
1147	28740	2153
1148	28765	2128
1149	28787	2102
1150	28814	2077
1151	28839	2052
1152	28869	2028
1153	28891	2002
1154	28918	1977
1155	28941	1952
1156	28970	1928
1157	28996	1903
1158	29022	1878
1159	29050	1853
1160	29072	1827
1161	29101	1803
1162	29122	1777
1163	29144	1752
1164	29168	1727
1165	29195	1702
1166	29222	1677
1167	29243	1652
1168	29269	1627
1169	29288	1602
1170	29315	1577
1171	29339	1552
1172	29366	1527
1173	29388	1501
1174	29415	1477
1175	29437	1451
1176	29464	1426
1177	29489	1401
1178	29515	1376
1179	29541	1351
1180	29567	1326
1181	29592	1301
1182	29619	1276
1183	29646	1251
1184	29668	1226
1185	29692	1201
1186	29719	1176
1187	29747	1151
1188	29771	1126
1189	29798	1101
1190	29823	1076
1191	29849	1051
1192	29871	1026
1193	29894	1001
1194	29916	976
1195	29940	951
1196	29961	926
1197	29986	901
1198	30010	876
1199	30032	850
1200	30056	825
1201	30086	800
1202	30108	775
1203	30133	750
1204	30158	725
1205	30183	700
1206	30209	675
1207	30231	650
1208	30258	625
1209	30289	600
1210	30311	575
1211	30332	550
1212	30349	525
1213	30376	500
1214	30405	475
1215	30427	450
1216	30452	425
1217	30480	400
1218	30503	375
1219	30520	350
1220	30540	325
1221	30570	300
1222	30598	275
1223	30620	250
1224	30648	225
1225	30674	200
1226	30697	175
1227	30726	150
1228	30751	125
1229	30773	100
1230	30799	75
1231	30822	50
1232	30848	25
1233	30875	0
